TipoInstituicao,CodInst,AnoMes,NomeRelatorio,NumeroRelatorio,Grupo,Conta,NomeColuna,DescricaoColuna,Saldo
1,00512839,202403,Resumo,1,,78187,Lucro Líquido,[70000009]+[80000006]-[81956001],-126318.42
1,00512839,202403,Resumo,1,,79649,Patrimônio de Referência para Comparação com o RWA,Montante de capital regulatório formado pela soma das parcelas de Capital Nível I e Capital Nível II,4423952.95
1,00512839,202403,Resumo,1,,79662,Índice de Imobilização,Relação entre Ativo Permanente e Patrimônio de Referência,0.0171447822472886
1,00512839,202403,Resumo,1,,79664,Índice de Basileia,Relação entre o Patrimônio de Referência e os Ativos ponderados pelo risco,0.700742815876251
1,00543968,202403,Resumo,1,,78182,Ativo Total,[10000007] + [20000004],6049211042.84
1,00543968,202403,Resumo,1,,78183,Carteira de Crédito Classificada,[31000000],0.0
1,00543968,202403,Resumo,1,,78184,Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros,[40000008] + [50000005],5773501899.59
1,00543968,202403,Resumo,1,,78185,Captações,[41000007] + [42000006] + [43000005] + [46000002],0.0
1,00543968,202403,Resumo,1,,78186,Patrimônio Líquido,[60000002] + [70000009]+ [80000006],275709143.25
1,00543968,202403,Resumo,1,,78187,Lucro Líquido,[70000009]+[80000006]-[81956001],2181478.25
1,00543968,202403,Resumo,1,,79649,Patrimônio de Referência para Comparação com o RWA,Montante de capital regulatório formado pela soma das parcelas de Capital Nível I e Capital Nível II,275708713.25
1,00543968,202403,Resumo,1,,79662,Índice de Imobilização,Relação entre Ativo Permanente e Patrimônio de Referência,0.00944703339004829
1,00543968,202403,Resumo,1,,79664,Índice de Basileia,Relação entre o Patrimônio de Referência e os Ativos ponderados pelo risco,0.20517996339051
1,00548980,202403,Resumo,1,,78182,Ativo Total,[10000007] + [20000004],3358213.46
1,00548980,202403,Resumo,1,,78183,Carteira de Crédito Classificada,[31000000],3048015.09
1,00548980,202403,Resumo,1,,78184,Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros,[40000008] + [50000005],158992.86
1,00548980,202403,Resumo,1,,78185,Captações,[41000007] + [42000006] + [43000005] + [46000002],0.0
1,00548980,202403,Resumo,1,,78186,Patrimônio Líquido,[60000002] + [70000009]+ [80000006],3199220.6
1,00548980,202403,Resumo,1,,78187,Lucro Líquido,[70000009]+[80000006]-[81956001],135514.47
1,00548980,202403,Resumo,1,,79649,Patrimônio de Referência para Comparação com o RWA,Montante de capital regulatório formado pela soma das parcelas de Capital Nível I e Capital Nível II,3199220.6
1,00548980,202403,Resumo,1,,79662,Índice de Imobilização,Relação entre Ativo Permanente e Patrimônio de Referência,0.000167815873653727
1,00548980,202403,Resumo,1,,79664,Índice de Basileia,Relação entre o Patrimônio de Referência e os Ativos ponderados pelo risco,1.14194937992159
1,00694389,202403,Resumo,1,,78182,Ativo Total,[10000007] + [20000004],1095803772.56
1,00694389,202403,Resumo,1,,78183,Carteira de Crédito Classificada,[31000000],782191182.49
1,00694389,202403,Resumo,1,,78184,Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros,[40000008] + [50000005],894982700.2
1,00694389,202403,Resumo,1,,78185,Captações,[41000007] + [42000006] + [43000005] + [46000002],544793140.4
1,00694389,202403,Resumo,1,,78186,Patrimônio Líquido,[60000002] + [70000009]+ [80000006],200821072.36
1,00694389,202403,Resumo,1,,78187,Lucro Líquido,[70000009]+[80000006]-[81956001],9329947.14
1,00694389,202403,Resumo,1,,79649,Patrimônio de Referência para Comparação com o RWA,Montante de capital regulatório formado pela soma das parcelas de Capital Nível I e Capital Nível II,184973002.34
1,00694389,202403,Resumo,1,,79662,Índice de Imobilização,Relação entre Ativo Permanente e Patrimônio de Referência,0.0352135073637795
1,00694389,202403,Resumo,1,,79664,Índice de Basileia,Relação entre o Patrimônio de Referência e os Ativos ponderados pelo risco,0.224746212018314
1,00694877,202403,Resumo,1,,78182,Ativo Total,[10000007] + [20000004],207913784.46
1,00694877,202403,Resumo,1,,78183,Carteira de Crédito Classificada,[31000000],133256879.07
1,00694877,202403,Resumo,1,,78184,Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros,[40000008] + [50000005],168503037.11
1,00694877,202403,Resumo,1,,78185,Captações,[41000007] + [42000006] + [43000005] + [46000002],163207267.1
1,00694877,202403,Resumo,1,,78186,Patrimônio Líquido,[60000002] + [70000009]+ [80000006],39410747.35
1,00694877,202403,Resumo,1,,78187,Lucro Líquido,[70000009]+[80000006]-[81956001],95089.1699999992
1,00694877,202403,Resumo,1,,79649,Patrimônio de Referência para Comparação com o RWA,Montante de capital regulatório formado pela soma das parcelas de Capital Nível I e Capital Nível II,18200171.81
1,00694877,202403,Resumo,1,,79662,Índice de Imobilização,Relação entre Ativo Permanente e Patrimônio de Referência,0.0602040113378468
1,00694877,202403,Resumo,1,,79664,Índice de Basileia,Relação entre o Patrimônio de Referência e os Ativos ponderados pelo risco,0.148250296462137
1,00698609,202403,Resumo,1,,78182,Ativo Total,[10000007] + [20000004],1618656950.47
1,00698609,202403,Resumo,1,,78183,Carteira de Crédito Classificada,[31000000],1168237658.2
1,00698609,202403,Resumo,1,,78184,Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros,[40000008] + [50000005],1373636119.0
1,00698609,202403,Resumo,1,,78185,Captações,[41000007] + [42000006] + [43000005] + [46000002],948680286.25
1,00698609,202403,Resumo,1,,78186,Patrimônio Líquido,[60000002] + [70000009]+ [80000006],245020831.47
1,00698609,202403,Resumo,1,,78187,Lucro Líquido,[70000009]+[80000006]-[81956001],5232210.98999999
1,00698609,202403,Resumo,1,,79649,Patrimônio de Referência para Comparação com o RWA,Montante de capital regulatório formado pela soma das parcelas de Capital Nível I e Capital Nível II,228352242.46
1,00698609,202403,Resumo,1,,79662,Índice de Imobilização,Relação entre Ativo Permanente e Patrimônio de Referência,0.109159312084997
1,00698609,202403,Resumo,1,,79664,Índice de Basileia,Relação entre o Patrimônio de Referência e os Ativos ponderados pelo risco,0.189502966398035
1,00707903,202403,Resumo,1,,78182,Ativo Total,[10000007] + [20000004],214574310.69
1,00707903,202403,Resumo,1,,78183,Carteira de Crédito Classificada,[31000000],122837503.16
1,00707903,202403,Resumo,1,,78184,Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros,[40000008] + [50000005],177432725.57
1,00707903,202403,Resumo,1,,78185,Captações,[41000007] + [42000006] + [43000005] + [46000002],136374156.46
1,00707903,202403,Resumo,1,,78186,Patrimônio Líquido,[60000002] + [70000009]+ [80000006],37141585.12
1,00707903,202403,Resumo,1,,78187,Lucro Líquido,[70000009]+[80000006]-[81956001],1375635.75
1,00707903,202403,Resumo,1,,79649,Patrimônio de Referência para Comparação com o RWA,Montante de capital regulatório formado pela soma das parcelas de Capital Nível I e Capital Nível II,34110091.98
